WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (-66.05621 46.08589)",46.08589,-66.05621,303.36,0.44,0.62,2023-10-01,527,2023/10/01 05:27:00+00,n,279.74,0.89
"POINT (-66.01771 45.27741)",45.27741,-66.01771,296.07,0.43,0.62,2023-10-01,527,2023/10/01 05:27:00+00,n,283.46,0.76
"POINT (-66.02265 45.28331)",45.28331,-66.02265,303.23,0.43,0.62,2023-10-01,527,2023/10/01 05:27:00+00,n,282.75,0.76
"POINT (-66.05055 46.08574)",46.08574,-66.05055,299.92,0.44,0.62,2023-10-01,527,2023/10/01 05:27:00+00,n,280.68,0.89
"POINT (-73.26663 45.82341)",45.82341,-73.26663,305.84,0.44,0.38,2023-10-01,707,2023/10/01 07:07:00+00,n,285.11,0.91
"POINT (-73.24901 45.8384)",45.8384,-73.24901,321.13,0.44,0.38,2023-10-01,707,2023/10/01 07:07:00+00,n,289.22,1.94
"POINT (-73.1425 46.04372)",46.04372,-73.1425,325.12,0.44,0.38,2023-10-01,707,2023/10/01 07:07:00+00,n,288.99,3.51
"POINT (-72.37703 45.81871)",45.81871,-72.37703,296.88,0.46,0.39,2023-10-01,707,2023/10/01 07:07:00+00,n,282.33,0.48
"POINT (-72.3875 46.37176)",46.37176,-72.3875,295.52,0.45,0.39,2023-10-01,707,2023/10/01 07:07:00+00,n,285,0.52
"POINT (-72.38815 46.37043)",46.37043,-72.38815,295.65,0.45,0.39,2023-10-01,707,2023/10/01 07:07:00+00,n,284.65,0.65
"POINT (-66.01817 45.28266)",45.28266,-66.01817,302.58,0.59,0.53,2023-10-01,707,2023/10/01 07:07:00+00,n,284.08,0.85
"POINT (-79.70154 40.79681)",40.79681,-79.70154,302.44,0.39,0.36,2023-10-01,709,2023/10/01 07:09:00+00,n,285.43,0.64
"POINT (-87.43396 41.68122)",41.68122,-87.43396,304.44,0.5,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,289.25,1.52
"POINT (-87.42174 41.68024)",41.68024,-87.42174,317.14,0.5,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,293.87,2.42
"POINT (-87.4346 41.67669)",41.67669,-87.4346,311.42,0.5,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,290.87,1.52
"POINT (-87.46578 41.67459)",41.67459,-87.46578,301.87,0.51,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,289.1,1.09
"POINT (-87.45963 41.6741)",41.6741,-87.45963,304.36,0.51,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,289.21,1.09
"POINT (-87.45351 41.67362)",41.67362,-87.45351,301.48,0.5,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,290.27,1.48
"POINT (-87.43527 41.67216)",41.67216,-87.43527,303.12,0.5,0.49,2023-10-01,709,2023/10/01 07:09:00+00,n,289.57,1.46
"POINT (-86.4867 39.87543)",39.87543,-86.4867,303.17,0.43,0.46,2023-10-01,709,2023/10/01 07:09:00+00,n,290.4,1
"POINT (-81.52608 39.36823)",39.36823,-81.52608,316.14,0.41,0.37,2023-10-01,709,2023/10/01 07:09:00+00,n,288.73,1.08
"POINT (-76.78374 38.84671)",38.84671,-76.78374,296.6,0.42,0.38,2023-10-01,709,2023/10/01 07:09:00+00,n,285.34,0.43
"POINT (-82.14787 39.73183)",39.73183,-82.14787,300.6,0.43,0.38,2023-10-01,709,2023/10/01 07:09:00+00,n,286.64,0.56
